chan_idx,lat,lon,depth,chan_m,utm_x,utm_y,x,y
942.0,45.2023,-123.96715,7.0664978,1923.4742159843445,424042.51924136217,5005878.696649777,11183.561634153186,20767.186708800495
943.0,45.202296,-123.96718,6.9225327,1925.516120672226,424040.1577962524,5005878.28050977,11185.923079262953,20766.77056879364
944.0,45.202292,-123.9672,6.8146111,1927.5580253601074,424038.5817248678,5005877.854961999,11187.499150647549,20766.345021022484
945.0,45.202288,-123.96723,6.6444971,1929.599930047989,424036.2202791514,5005877.438823453,11189.860596363957,20765.928882476874
946.0,45.202284,-123.96725,6.5235484,1931.6418347358704,424034.6442072723,5005877.013276654,11191.436668243085,20765.50333567802
947.0,45.202281,-123.96728,6.3403414,1933.6837394237518,424032.2840919088,5005876.708230757,11193.79678360658,20765.198289780878
948.0,45.202277,-123.9673,6.2141313,1935.7256441116333,424030.7080195624,5005876.282684936,11195.37285595294,20764.77274395991
949.0,45.202273,-123.96733,6.0271668,1937.7675487995148,424028.34657268005,5005875.866549308,11197.734302835306,20764.356608332135
950.0,45.202269,-123.96735,5.9034825,1939.8094534873962,424026.77049983916,5005875.441004459,11199.3103756762,20763.931063482538
951.0,45.202265,-123.96738,5.7254327,1941.8513581752777,424024.4090523502,5005875.024870292,11201.671823165147,20763.514929316007
952.0,45.202261,-123.9674,5.6117494,1943.8932628631592,424022.8329790167,5005874.599326416,11203.247896498651,20763.08938543964
953.0,45.202257,-123.96743,5.4537704,1945.9351675510406,424020.47153092513,5005874.183193712,11205.609344590222,20762.673252735287
954.0,45.202253,-123.96745,5.3573852,1947.9770722389221,424018.8954570951,5005873.757650806,11207.185418420238,20762.24770982936
955.0,45.20225,-123.96748,5.230605,1950.0189769268036,424016.5353396269,5005873.452610749,11209.545535888465,20761.942669772543
956.0,45.202246,-123.96751,5.127253,1952.060881614685,424014.17389064207,5005873.036480379,11211.90698487329,20761.526539403014
957.0,45.202242,-123.96753,5.0732972,1954.1027863025665,424012.59781607013,5005872.610939034,11213.483059445221,20761.100998057984
958.0,45.202238,-123.96756,5.0180696,1956.144690990448,424010.2363664787,5005872.194810123,11215.84450903663,20760.684869146906
959.0,45.202234,-123.96758,4.9997342,1958.1865956783295,424008.6602914141,5005871.769269752,11217.42058410123,20760.25932877604
960.0,45.20223,-123.96761,5.0030698,1960.228500366211,424006.2988412201,5005871.353142302,11219.782034295262,20759.843201325275
961.0,45.202226,-123.96763,5.027166,1962.2704050540924,424004.722765659,5005870.927602905,11221.358109856374,20759.41766192857
962.0,45.202222,-123.96766,5.0984875,1964.3123097419739,424002.36131485837,5005870.511476914,11223.719560656988,20759.00153593812
963.0,45.202219,-123.96768,5.1679757,1966.3542144298553,424000.7865703072,5005870.197029678,11225.29430520814,20758.687088701874
964.0,45.202215,-123.96771,5.302041,1968.3961191177368,423998.4251189452,5005869.780905149,11227.655756570166,20758.27096417267
965.0,45.202211,-123.96773,5.4087004,1970.4380238056183,423996.8490424224,5005869.355367698,11229.231833092985,20757.8454267215
966.0,45.202207,-123.96776,5.5931546,1972.4799284934998,423994.4875904557,5005868.939244628,11231.593285059673,20757.429303651676
967.0,45.202203,-123.96779,5.8022732,1974.5218331813812,423992.1261381592,5005868.523122434,11233.954737356165,20757.013181457296
968.0,45.202199,-123.96781,5.9521824,1976.5637378692627,423990.55006086704,5005868.097586541,11235.530814648315,20756.58764556516
969.0,45.202195,-123.96784,6.1930677,1978.6056425571442,423988.18860796397,5005867.681465808,11237.89226755139,20756.171524832025
970.0,45.202191,-123.96786,6.3601083,1980.6475472450256,423986.6125301772,5005867.2559308885,11239.46834533813,20755.74598991219
971.0,45.202188,-123.96789,6.6228985,1982.689451932907,423984.2524084643,5005866.950902802,11241.828467051033,20755.44096182566
972.0,45.202184,-123.96791,6.7999318,1984.7313566207886,423982.67633021047,5005866.525368857,11243.40454530489,20755.01542788092
973.0,45.20218,-123.96794,7.0715447,1986.77326130867,423980.3148761414,5005866.109251043,11245.76599937398,20754.59931006655
974.0,45.202176,-123.96796,7.2515037,1988.8151659965515,423978.7387973929,5005865.68371807,11247.342078122427,20754.17377709411
975.0,45.202172,-123.96799,7.5225971,1990.857070684433,423976.3773427172,5005865.267601717,11249.703532798158,20753.757660740986
976.0,45.202168,-123.96801,7.6986965,1992.8989753723145,423974.80126347416,5005864.842069719,11251.279612041195,20753.33212874271
977.0,45.202164,-123.96804,7.9590373,1994.940880060196,423972.4398081959,5005864.425954827,11253.641067319433,20752.91601385083
978.0,45.20216,-123.96806,8.1246161,1996.9827847480774,423970.8637284603,5005864.0004238,11255.217147055082,20752.490482823923
979.0,45.202157,-123.96809,8.3654822,1999.0246894359589,423968.5036046427,5005863.695401554,11257.577270872658,20752.18546057772
980.0,45.202153,-123.96812,8.5874749,2001.0665941238403,423966.14214847115,5005863.279288996,11259.93872704421,20751.769348019734
981.0,45.202149,-123.96814,8.7222422,2003.1084988117218,423964.5660679916,5005862.85375953,11261.514807523752,20751.343818553723
